latitude,longitude,pm10,pm25,temperature,humidity,pressure,rssi,timestamp,category
55.660927,12.56063,7.1,5,2.48,56.92,103600.63,22,22-02-18 17:17,aba
55.660957,12.560316,7.5,4.7,2.46,56.94,103596.27,27,22-02-18 17:17,baba
55.66087,12.559977,9.1,4.6,2.44,56.96,103599.22,31,22-02-18 17:16,aba
55.660759,12.558917,10.7,4.7,2.42,56.98,103586.59,28,22-02-18 17:16,aba
55.661594,12.557916,12.1,4.9,2.4,57,103581.8,28,22-02-18 17:16,baba
55.661869,12.558197,10.7,4.9,2.38,57.09,103589.95,31,22-02-18 17:16,baba
55.661903,12.558286,16.4,7.2,2.36,57.09,103585.09,31,22-02-18 17:15,baba
55.662323,12.558974,27.6,14.5,2.33,57.09,103564.67,31,22-02-18 17:15,baba
55.662483,12.559309,24.1,15.9,2.31,56.94,103574.13,29,22-02-18 17:15,baba
55.6637,12.562121,17.6,15.7,2.27,56.87,103530.72,30,22-02-18 17:15,baba
55.665154,12.565272,22.4,20.1,2.24,56.8,103552.7,26,22-02-18 17:14,baba
55.666382,12.567864,19.5,17.5,2.21,56.85,103569.48,28,22-02-18 17:14,baba
55.667553,12.570417,11.5,10.5,2.17,56.87,103574.53,31,22-02-18 17:14,baba
55.668369,12.571656,6.5,4.2,2.14,56.96,103596.93,31,22-02-18 17:14,baba
55.668724,12.571146,7.8,3.8,2.11,56.93,103588.17,31,22-02-18 17:13,baba
55.669651,12.570492,6.9,3.8,2.08,56.93,103588.95,31,22-02-18 17:13,baba
55.669724,12.570631,4.8,3.8,2.06,56.99,103597.96,31,22-02-18 17:13,baba
55.669956,12.570947,6.4,3.8,2.04,57.04,103591.38,31,22-02-18 17:13,baba
55.670155,12.570988,6.6,4.1,2.01,56.96,103596.48,31,22-02-18 17:12,baba
55.670624,12.571296,9.2,8.5,1.98,56.89,103580.81,31,22-02-18 17:12,baba
55.671894,12.572328,8.9,8.2,1.97,56.79,103580.34,31,22-02-18 17:12,baba
55.67268,12.573442,10.5,4.4,1.92,56.8,103580.61,31,22-02-18 17:12,baba
55.672756,12.574221,17.6,8,1.9,56.79,103597.88,26,22-02-18 17:11,baba
55.672745,12.57416,17.8,7.6,1.87,56.69,103592.11,31,22-02-18 17:11,baba
55.67205,12.575458,26.3,10.8,1.85,56.6,103583.41,31,22-02-18 17:11,baba
55.671463,12.576582,27.8,11.5,1.83,56.5,103562.56,28,22-02-18 17:11,baba
55.670525,12.57848,24.2,18.8,1.8,56.37,103491.08,30,22-02-18 17:10,baba
55.669388,12.580672,28.3,25.6,1.78,56.16,103532.13,27,22-02-18 17:10,baba
55.668571,12.582686,25.1,22.4,1.73,56.08,103581.25,25,22-02-18 17:10,baba
55.668304,12.584232,23.2,17.8,1.7,55.99,103596.71,25,22-02-18 17:10,baba
55.667679,12.588898,21.8,19.7,1.65,55.64,103583.55,26,22-02-18 17:09,baba
55.66745,12.591433,19.1,17.4,1.61,55.62,103595.09,27,22-02-18 17:09,baba
55.667439,12.591501,13.4,12,1.55,55.59,103601.39,29,22-02-18 17:09,baba
55.667187,12.592591,10.4,5.9,1.51,55.53,103580.46,31,22-02-18 17:09,baba
55.666527,12.595021,13.1,7.3,1.48,55.31,103592.88,31,22-02-18 17:08,baba
55.666016,12.59499,16,13.4,1.44,55.19,103592.78,31,22-02-18 17:08,baba
55.664867,12.594702,23.3,12.5,1.42,54.94,103573.67,29,22-02-18 17:08,baba
55.663612,12.594357,21.9,6.1,1.38,54.91,103565.33,31,22-02-18 17:08,baba
55.66304,12.594472,19.9,8.2,1.35,54.74,103600.23,31,22-02-18 17:07,baba
55.663033,12.59448,29,17.4,1.32,54.56,103601.86,31,22-02-18 17:07,baba
55.663033,12.594476,25.2,20.9,1.3,54.34,103603.06,24,22-02-18 17:07,baba
55.662807,12.594796,12.7,11.4,1.27,54.21,103590.38,29,22-02-18 17:07,baba
55.662189,12.595944,9.5,4.7,1.22,54.05,103597.59,31,22-02-18 17:06,baba
55.661751,12.596771,10.9,4.7,1.21,53.85,103603.14,31,22-02-18 17:06,baba
55.661503,12.597419,8.2,4.2,1.19,53.6,103598.75,31,22-02-18 17:06,baba
55.660992,12.598187,6.4,3.4,1.18,53.29,103587.03,31,22-02-18 17:06,baba
55.660549,12.599155,7.2,4.5,1.16,53.1,103597.36,31,22-02-18 17:05,baba
55.660557,12.599216,9.7,8.7,1.16,52.87,103600.38,31,22-02-18 17:05,baba
55.660599,12.599284,14,12.6,1.16,52.61,103597.78,29,22-02-18 17:05,baba
55.660946,12.599513,14.3,13.1,1.14,52.39,103597.27,30,22-02-18 17:05,baba
55.66114,12.599199,12.7,11.6,1.13,52.19,103599.84,30,22-02-18 17:04,baba
55.661121,12.599193,11.8,10.8,1.12,52.01,103592.87,30,22-02-18 17:04,baba
55.661118,12.599189,13.9,12.9,1.11,51.82,103598.02,30,22-02-18 17:04,baba
55.66127,12.599239,12.3,11.3,1.08,51.52,103597.92,30,22-02-18 17:04,baba
55.661629,12.598707,13.7,11.8,3.35,54.22,103582.49,20,22-02-18 16:37,baba
55.661942,12.598012,9.7,4.4,3.31,54.48,103583.26,30,22-02-18 16:37,baba
55.661701,12.597285,14.5,11.5,3.3,54.58,103584.52,30,22-02-18 16:37,baba
55.661674,12.597081,24.4,22.1,3.3,54.64,103578.88,25,22-02-18 16:37,baba
55.662254,12.595831,16.4,14.9,3.28,54.71,103565.84,23,22-02-18 16:36,baba
55.662998,12.594136,12.4,6.7,3.26,54.77,103578.34,31,22-02-18 16:36,baba
55.663582,12.594177,11.7,5.2,3.24,54.85,103580,31,22-02-18 16:36,baba
55.664654,12.594526,12.3,4.9,3.24,54.81,103568.3,31,22-02-18 16:36,baba
55.665771,12.59481,14.3,6.3,3.23,54.75,103579.55,31,22-02-18 16:35,baba
55.66637,12.594912,26.8,24.4,3.23,54.74,103586.5,31,22-02-18 16:35,baba
55.66655,12.59453,14.4,11.8,3.23,54.59,103590.84,23,22-02-18 16:35,baba
55.667503,12.589481,30.6,27.8,3.19,54.55,103568.58,26,22-02-18 16:35,baba
55.667591,12.586907,30,27.1,3.17,54.47,103583.3,24,22-02-18 16:34,baba
55.66795,12.584625,29.8,21.7,3.19,54.17,103556.01,21,22-02-18 16:34,baba
55.668919,12.581347,26.3,19.3,3.08,54.54,103532.73,28,22-02-18 16:33,baba
55.670242,12.578788,15.4,11.2,3.04,54.56,103463.27,29,22-02-18 16:33,baba
55.671474,12.576372,10.9,6.7,3,54.66,103499.59,31,22-02-18 16:33,baba
55.67268,12.573933,14.1,12.6,3,54.61,103547.66,31,22-02-18 16:33,baba
55.673622,12.571986,13.3,12,2.98,54.51,103543.28,30,22-02-18 16:32,baba
55.674728,12.569702,6.1,4.2,2.94,54.62,103518.45,31,22-02-18 16:32,baba
55.675755,12.567889,4.8,3.7,2.93,54.61,103521.47,31,22-02-18 16:32,baba
55.676067,12.567401,4.6,3.5,2.91,54.66,103534.41,31,22-02-18 16:32,baba
55.676067,12.567401,7.2,4.2,2.91,54.69,103536.13,31,22-02-18 16:31,baba
55.676064,12.567385,12.8,11.5,2.9,54.69,103541.31,31,22-02-18 16:31,baba
55.676064,12.567387,15.7,14.4,2.9,54.66,103527.45,24,22-02-18 16:31,baba
55.67728,12.566219,17.7,16.3,2.87,54.59,103501.37,26,22-02-18 16:31,baba
55.678608,12.564704,23.1,21.2,2.85,54.58,103494.37,31,22-02-18 16:30,baba
55.679035,12.564079,27,24.6,2.84,54.63,103505.57,29,22-02-18 16:30,baba
55.679035,12.564079,23,20.8,2.81,54.67,103504.63,29,22-02-18 16:30,baba
55.67907,12.563965,35.2,32.3,2.8,54.72,103509.38,18,22-02-18 16:30,baba
55.680176,12.562371,26.5,24.1,2.78,54.61,103508.02,23,22-02-18 16:29,baba
55.68129,12.55947,27,24.5,2.73,54.72,103498.31,24,22-02-18 16:29,baba
55.68211,12.557532,26.6,24.2,2.7,54.75,103502.13,24,22-02-18 16:29,baba
55.682308,12.557147,25.7,23.3,2.66,54.82,103531.05,21,22-02-18 16:29,baba
55.682331,12.557158,27.2,24.3,2.63,54.87,103527.5,22,22-02-18 16:28,baba
55.68346,12.555835,27.1,24.2,2.6,54.88,103488.87,25,22-02-18 16:28,baba
55.684685,12.553767,26.8,24.5,2.56,54.95,103493.97,27,22-02-18 16:28,baba
55.684959,12.553041,23.5,21.2,2.53,54.96,103528.92,27,22-02-18 16:28,baba
55.684959,12.553041,16.2,12.6,2.5,55.05,103539.22,29,22-02-18 16:27,baba
55.684959,12.552377,17.6,15.8,2.46,55.16,103527.41,22,22-02-18 16:27,baba
55.685127,12.549566,27.7,24.8,2.44,55.03,103521.72,26,22-02-18 16:27,baba
55.685379,12.547016,29.7,24.6,2.4,55.08,103502.98,25,22-02-18 16:27,baba
55.685886,12.545968,23.1,20.7,2.37,55.17,103523.2,23,22-02-18 16:26,baba
55.686768,12.543821,15.9,13.2,2.33,55.18,103493.22,23,22-02-18 16:26,baba
55.687759,12.54145,16.3,11.7,2.27,55.26,103505.59,31,22-02-18 16:26,baba
55.689114,12.539814,18,13.9,2.26,55.21,103501.25,31,22-02-18 16:26,baba
55.690666,12.537066,14.3,9.6,2.22,55.2,103430.55,23,22-02-18 16:25,baba
55.69315,12.53593,21.2,19,2.18,55.33,103395.38,31,22-02-18 16:25,baba
55.695293,12.534001,28.1,25.3,2.15,55.22,103408.28,28,22-02-18 16:25,baba
55.695976,12.529559,22.8,20.5,2.1,55.21,103463.52,22,22-02-18 16:25,baba
55.696491,12.526151,19.8,12.6,2.06,55.2,103473.75,19,22-02-18 16:24,baba
55.697552,12.524607,21.7,13.5,2.02,55.19,103481,19,22-02-18 16:24,baba
55.698826,12.523103,20.9,17.9,1.97,55.26,103427.61,21,22-02-18 16:24,baba
55.699768,12.521866,21.2,19.1,1.92,55.29,103413.17,25,22-02-18 16:23,baba
55.701435,12.519981,24.9,19.6,1.86,55.33,103392.66,24,22-02-18 16:23,baba
55.703411,12.51777,29.9,24.1,1.83,55.29,103382.17,18,22-02-18 16:23,baba
55.705402,12.516794,28.6,25.5,1.78,55.24,103390.66,18,22-02-18 16:23,baba
55.707859,12.51339,25.8,23.2,1.73,55.02,103354.61,27,22-02-18 16:22,baba
55.708759,12.510233,27.8,25.1,1.7,54.84,103284.02,24,22-02-18 16:22,baba
55.709541,12.508245,26.8,24,1.66,54.85,103277.86,23,22-02-18 16:22,baba
55.709805,12.507961,26.2,23.9,1.61,54.95,103294.56,22,22-02-18 16:22,baba
55.710735,12.506803,22.6,20.6,1.57,54.86,103307.42,26,22-02-18 16:21,baba
55.712357,12.504962,22.8,20.8,1.54,54.8,103340.15,30,22-02-18 16:21,baba
55.713223,12.504052,22.5,20.6,1.51,54.77,103349.14,30,22-02-18 16:21,baba
55.713715,12.503536,23,21,1.47,54.79,103329.57,26,22-02-18 16:21,baba
55.714668,12.502501,24.6,22.2,1.43,54.72,103324.67,27,22-02-18 16:20,baba
55.715439,12.501622,22.2,20.1,1.41,54.75,103371.75,27,22-02-18 16:20,baba
55.715714,12.501284,25.6,23.3,1.38,54.8,103381.59,23,22-02-18 16:20,baba
